source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Order-order.com'}",Eleanor Wheatley,OBR: Labour U-Turns Damage UK’s Fiscal Position,The Office for Budget Responsibility’s latest Fiscal Risks and Sustainability report paints a grim picture of Britain’s financial future. It blames Starmer’s U‑turns on winter fuel and welfare for leaving the public finances in a “vulnerable position.” It sta…,https://order-order.com/2025/07/08/obr-labour-u-turns-damage-uks-fiscal-position/,https://149739034.v2.pressablecdn.com/wp-content/uploads/2025/07/reeves-OBR.jpg,2025-07-08T09:15:57Z,The Office for Budget Responsibilitys latest Fiscal Risks and Sustainability report paints a grim picture of Britains financial future. It blames Starmers Uturns on winter fuel and welfare for leavin… [+996 chars]
"{'id': 'financial-post', 'name': 'Financial Post'}",Business Wire,Thales Reinforces its Leadership in eSIM and IoT Connectivity with a ‘Ready to Use’ Certified Solution,"At a time when billions of connected objects are reshaping industries, Thales has achieved an essential security certification for its eSIM solution, reinforcing its leadership in trusted connectivity management for the Internet of Things (IoT). The certifica…",https://financialpost.com/pmn/business-wire-news-releases-pmn/thales-reinforces-its-leadership-in-esim-and-iot-connectivity-with-a-ready-to-use-certified-solution,,2025-07-08T06:05:32Z,"<ul><li>At a time when billions of connected objects are reshaping industries, Thales has achieved an essential security certification for its eSIM solution, reinforcing its leadership in trusted con… [+6473 chars]"
"{'id': None, 'name': 'Www.gov.uk'}",Defence Infrastructure Organisation,RAF personnel to benefit from new SLA accommodation at Cosford,50 new SLA bedspaces will be created at RAF Cosford as part of a £12 million contract.,https://www.gov.uk/government/news/raf-personnel-to-benefit-from-new-sla-accommodation-at-cosford,https://assets.publishing.service.gov.uk/media/6867bcf9a08d3a3ca3b6774c/s960_COS-2025061-410_-_Edited-3-2-resized.jpg,2025-07-07T13:00:01Z,"Construction has started on a new 50-bedroom Single Living Accommodation (SLA) block at RAF Cosford in Shropshire.  
The Defence Infrastructure Organisation (DIO) awarded a £12 million contract to m… [+2895 chars]"
"{'id': None, 'name': 'Europa.eu'}",fanny.pollet@iss.europa.eu,Head of people and organisation,"The Institute is looking for a new Head of people and organisation. Deadline: 28 August 2025, 12:00 CEST.",https://www.iss.europa.eu/about-us/opportunities/head-people-and-organisation,https://www.iss.europa.eu/themes/custom/euiss/euiss-share.png,2025-07-07T11:15:43Z,The European Union Institute for Security Studies (EUISS) invites qualified and motivated professionals to apply for the position of Head of People and Organisation. Operating from Paris and Brussels… [+8721 chars]
"{'id': None, 'name': 'Www.gov.uk'}",Accelerated Capability Environment,Navigating change: intandem’s ACE supplier story,Innovation consultancy intandem specialises in helping clients to deliver meaningful change.,https://www.gov.uk/government/case-studies/navigating-change-intandems-ace-supplier-story,https://assets.publishing.service.gov.uk/media/6867fec081dd8f70f5de3b73/s300_TB_GOV_SUPPLIER_B.png,2025-07-07T08:47:36Z,"Founded in 2018 by Chloe Wolff and Daniel Mueller, innovation, strategy and new ventures consultancy intandem specialises in helping clients to harness innovation and emerging technology to deliver m… [+3013 chars]"
"{'id': None, 'name': 'Www.gov.uk'}",Nuclear Decommissioning Authority,NDA calls for engagement on refreshed decommissioning strategy,"The NDA has published its strategy for consultation, setting out the roadmap to decommission the UK’s earliest nuclear sites safely, securely and sustainably.",https://www.gov.uk/government/news/nda-calls-for-engagement-on-refreshed-decommissioning-strategy,https://assets.publishing.service.gov.uk/media/68666f97e134dfbc2e9e6d2c/s960_Draft_S5_front_960x640.jpg,2025-07-07T07:45:07Z,"Today, the Nuclear Decommissioning Authority (NDA) has published its revised strategy for public consultation, setting out a clear roadmap for one of the UKs most complex long-term environmental chal… [+4196 chars]"
"{'id': None, 'name': 'Lse.ac.uk'}",Blog Team,The symbolism of Denmark’s EU presidency,"Denmark took over the rotating Presidency of the Council of the European Union on 1 July. Vera Spyrakou writes that at a time when Europe faces mounting challenges, Denmark’s presidency … Continued
The post The symbolism of Denmark’s EU presidency first appea…",https://blogs.lse.ac.uk/europpblog/2025/07/07/the-symbolism-of-denmarks-eu-presidency/,https://blogsmedia.lse.ac.uk/blogs.dir/28/files/2025/07/danish-presidency-ceremony-featured.jpg,2025-07-07T03:52:00Z,"Denmark took over the rotating Presidency of the Council of the European Union on 1 July. Vera Spyrakou writes that at a time when Europe faces mounting challenges, Denmarks presidency must aim to br… [+8839 chars]"
"{'id': None, 'name': 'The Star Online'}",ESTHER NG,"Malaysia fully supports an Asean Power Grid, says PM Anwar",RIO DE JANEIRO: Malaysia fully supports Vietnam's aspirations for an Asean Power Grid — an infrastructure project to ensure energy security and sustainable growth. Read full story,https://www.thestar.com.my/news/nation/2025/07/07/malaysia-fully-supports-an-asean-power-grid-says-pm-anwar,https://apicms.thestar.com.my/uploads/images/2025/07/07/3403819.jpg,2025-07-07T03:22:00Z,"RIO DE JANEIRO: Malaysia fully supports Vietnams aspirations for an Asean Power Grid an infrastructure project to ensure energy security and sustainable growth.
Prime Minister Datuk Seri Anwar Ibrah… [+1638 chars]"
"{'id': None, 'name': 'Mondoweiss'}",Jonathan Ofir,New UN report reveals the companies getting rich off Israeli occupation and genocide,A new report from UN Special Rapporteur Francesca Albanese uncovers the economic interests benefiting from Israel's genocide in Gaza.,https://mondoweiss.net/2025/07/new-un-report-reveals-the-companies-getting-rich-off-israeli-occupation-and-genocide/,https://mondoweiss.net/wp-content/uploads/2025/07/200525_Gaza_APA_ZU_1_004-scaled.jpg,2025-07-06T14:00:00Z,"The UN Special Rapporteur on the situation of human rights in the Palestinian territories occupied since 1967, Francesca Albanese, issued a seminal report on June 30, titled From economy of occupatio… [+22892 chars]"
"{'id': None, 'name': 'Nakedcapitalism.com'}",Haig Hovaness,Links 7/6/2025,"Our strategic daily links: Doodling, shrinking glaciers, Chinese words, tariffic situation, Gaza horrors, Ukraine burning, vanishing privacy, imperial collapse, Trumpishness, Musk world, Dems in distress, immigration troubles, Mr. market, AI, and wretched exc…",https://www.nakedcapitalism.com/2025/07/links-7-6-2025.html,https://www.nakedcapitalism.com/wp-content/uploads/2025/07/Herons-600.jpg,2025-07-06T10:55:28Z,"Sam Cox, also known as Mr. Doodle, spent two years transforming his 12-room mansion in Kent into a surreal, doodle-covered masterpiece. Every surface, including walls, floors, furniture, and applianc… [+7316 chars]"
