source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'focus', 'name': 'Focus'}",Leonhard Frey,Chinas neuer Kampfjet J-35A: Kann er mit dem US-Flaggschiff mithalten?,Chinas modernster Kampfjet J-35A wurde wohl erstmals im Einsatz beobachtet. Kann das Flugzeug bereits mit der amerikanischen F-35 mithalten?,https://www.focus.de/politik/ausland/chinas-neuer-kampfjet-j-35a-kann-er-mit-dem-us-flaggschiff-mithalten_4147e7be-01fa-4dd8-bdc0-7ca4e9735bbf.html,https://quadro.burda-forward.de/ctf/497954ff-8bff-40c3-85dc-b6d1607fdda1.526e13b5-1b17-43a3-9c38-ed170162b9b0.jpg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%28772%2C596%29&hash=6570b914af14da564fa05f545fad7fc7b9174096a7fac0de352c204935cfe4ef,2025-07-08T08:49:08Z,China hat sehr viel Geld in den Aufbau moderner Luftstreitkräfte investiert und schließt nach und nach zur immer noch unangefochtenen US Air Force auf. Ein wichtiges Puzzleteil der chinesischen Bemüh… [+1688 chars]
"{'id': 'focus', 'name': 'Focus'}",Leonhard Frey,Chinas Vorzeige-Kampfjet J-35A: Kann er mit dem US-Flaggschiff mithalten?,Chinas modernster Kampfjet J-35A wurde wohl erstmals im Einsatz beobachtet. Kann das Flugzeug bereits mit der amerikanischen F-35 mithalten?,https://www.focus.de/politik/ausland/chinas-vorzeige-kampfjet-j-35a-kann-er-mit-dem-us-flaggschiff-mithalten_4147e7be-01fa-4dd8-bdc0-7ca4e9735bbf.html,https://quadro.burda-forward.de/ctf/497954ff-8bff-40c3-85dc-b6d1607fdda1.526e13b5-1b17-43a3-9c38-ed170162b9b0.jpg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%28772%2C596%29&hash=6570b914af14da564fa05f545fad7fc7b9174096a7fac0de352c204935cfe4ef,2025-07-08T08:49:08Z,China hat sehr viel Geld in den Aufbau moderner Luftstreitkräfte investiert und schließt nach und nach zur immer noch unangefochtenen US Air Force auf. Ein wichtiges Puzzleteil der chinesischen Bemüh… [+1688 chars]
"{'id': None, 'name': 'Journal du geek'}",Antoine Gautherie,Mars Sample Return : la mission maudite de la NASA entrevoit la lumière au bout du tunnel,"Des géants industriels se bousculent pour sauver cette mission cruciale qui patine depuis des années, dans un contexte de difficultés logistiques et financières. La dernière proposition de Lockheed Martin montre que ces efforts sont en bonne voie, et qu'il y …",https://www.journaldugeek.com/2025/07/08/mars-sample-return-la-mission-maudite-de-la-nasa-entrevoit-la-lumiere-au-bout-du-tunnel/,https://www.journaldugeek.com/app/uploads/2022/07/mrv.jpg,2025-07-08T08:01:39Z,"Mars Sample Return pourrait enfin avoir trouvé une manière de sortir du bourbier où elle senlise depuis environ deux ans. Lockheed Martin, le géant industriel américain, est récemment venu à la resco… [+5623 chars]"
"{'id': None, 'name': 'The Drum'}",Sam Anderson,The work made with creative technology that stopped marketers in their tracks,"For this week’s edition of Agency Advice, we canvass top ad creatives for the ads, videos and cultural artefacts that made them rethink what’s possible with creative technology.Our Creative Technology for Drummies buyers’ guide is now in full swing, arming yo…",https://www.thedrum.com/news/2025/07/08/the-work-made-with-creative-technology-stopped-marketers-their-tracks,https://thedrum-media.imgix.net//thedrum-prod/s3/news/356420/nature_hits_different.png?w=1280&ar=default&fit=crop&crop=faces&auto=format,2025-07-08T08:00:00Z,"For this weeks edition of Agency Advice, we canvass top ad creatives for the ads, videos and cultural artefacts that made them rethink whats possible with creative technology.Our Creative Technology … [+11922 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Online,'India focusing on...': Top defence ministry official reveals what India is planning for 5th-gen fighter jets,"India is prioritizing short-term technology transfer to expedite its fifth-generation fighter jet program, aiming to bolster its air power amid concerns over reduced operational strength. The nation is evaluating options like the F-35 and Su-57, while also pu…",https://economictimes.indiatimes.com/news/defence/india-focusing-on-top-defence-ministry-official-reveals-what-india-is-planning-for-5th-gen-fighter-jets/articleshow/122315077.cms,"https://img.etimg.com/thumb/msid-122315297,width-1200,height-630,imgsize-306530,overlay-etdefence/articleshow.jpg",2025-07-08T07:49:46Z,"India is focusing on short-term technology transfer to accelerate its fifth-generation fighter jet plans, according to Defence Secretary Rajesh Kumar Singh. In an interview with CNN-News18, Singh con… [+3570 chars]"
"{'id': None, 'name': 'Biztoc.com'}",seekingalpha.com,Lockheed Martin: Well Positioned For Tomorrow's Wars,,https://biztoc.com/x/9d5669800749fde1,https://biztoc.com/cdn/950/og.png,2025-07-08T07:42:43Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump impose 25% tariffs on Japan and Korea? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trump's tar… [+773 chars]"
"{'id': None, 'name': 'Yanisvaroufakis.eu'}",Yanis Varoufakis,"Amid Trump’s calls to remove her as UN special rapporteur on Palestine, Varoufakis, Piketty, Gosh & another 7 economists praise Francesca Albanese’s report on the Economics of Genocide – ZETEO","Yanis Varoufakis, Thomas Piketty, Nassim Taleb, Jayati Gosh, Michael Hudson,  Giuseppe Mastruzzo, Jomo Kwame Sundaram, Robert H. Wade, Christopher Cramer and Nidhi Srinivas co-sign the open letter below supporting Francesca Albanese amid US calls to remove he…",https://www.yanisvaroufakis.eu/2025/07/08/amid-trumps-calls-to-remove-her-as-un-special-rapporteur-on-palestine-varoufakis-piketty-gosh-another-7-economists-praise-francesca-albaneses-report-on-the-economics-of-genocide-zeteo/,https://www.yanisvaroufakis.eu/wp-content/uploads/2025/07/Screenshot-2025-07-08-at-09.36.38.png,2025-07-08T06:41:13Z,History teaches us that economic interests have been key drivers and enablers of colonial enterprises and often of the genocides they perpetrated. The corporate sector has been intrinsic to coloniali… [+4540 chars]
"{'id': None, 'name': 'Yahoo Entertainment'}",記者黃守作／高雄報導,勞動部高屏澎東分署11日潮州辦大型徵才活動,[NOWnews今日新聞]勞動部勞動力發展署高屏澎東分署將於11日，在屏東縣潮州鎮潮州國中活動中心，舉辦潮州地區大型徵才活動，將釋出超過500個職缺，以協助屏南地區待業民眾順利進入職場就業，歡迎有求職...,https://tw.news.yahoo.com/%E5%8B%9E%E5%8B%95%E9%83%A8%E9%AB%98%E5%B1%8F%E6%BE%8E%E6%9D%B1%E5%88%86%E7%BD%B211%E6%97%A5%E6%BD%AE%E5%B7%9E%E8%BE%A6%E5%A4%A7%E5%9E%8B%E5%BE%B5%E6%89%8D%E6%B4%BB%E5%8B%95-122900272.html,https://media.zenfs.com/ko/nownews.com/d6caf629b1d582e1fd16c8006e435805,2025-07-08T04:29:00Z,"[Newtalk] F-35 Defense News2026 F-35A 45 F-35 24 AFAMIAS Doug Birkey F-35 F-35 Lockheed Martin 1,900 F-35 50 : / F-35"
"{'id': None, 'name': 'Www.nzz.ch'}",Selina Berner (sia),Ruag bangt um Offset-Geschäfte: Auch die Endmontage von F-35-Jets steht auf der Kippe,"Die Teilmontage von vier Jets in der Schweiz ist nicht mehr sicher. Der bundeseigene Rüstungskonzern warnt: Sollte das Projekt nicht umgesetzt werden, verliere das Unternehmen «seine Fähigkeiten im Bereich Jet mittelfristig».",https://www.nzz.ch/schweiz/ruag-bangt-um-offset-geschaeft-zu-f-35-ld.1892402,"https://img.nzz.ch/2025/07/07/36b855b6-f284-4835-8064-f9eb250ed43a.jpeg?width=1200&height=675&fit=bounds&quality=75&auto=webp&crop=2412,1357,x0,y126&wmark=nzz",2025-07-08T03:30:00Z,"Mit dem Projekt «Rigi» sollen vier von 36 Kampfjets in der Schweiz teilweise montiert werden.
Alles im Projekt «Air2030» zur Luftverteidigung der Zukunft wird nochmals überprüft das versprach Bundes… [+4765 chars]"
"{'id': None, 'name': 'Lidovky.cz'}",Štěpán Hobza,"Rusko, nebo Amerika? Britská F-35 uvízla v Indii v nejméně vhodnou dobu","Celý internet se už třetím týdnem baví obrázkem britské stíhačky F-35 uvízlé v indickém městě Thiruvananthapuram. Letoun tam musel nouzově přistát poté, co odstartoval z letadlové lodi HMS Prince of Wales, jež je právě nasazena v Indickém oceánu. Jenže z odst…",https://www.lidovky.cz/nazory/britska-stihacka-f-35-indie-usa-rusko-suchoj-donald-trump-narendra-modi.A250707_120011_ln_nazory_lgs,https://1gr.cz/fotky/idnes/24/052/cl8/KHA9fa9f0a9e8_profimedia_0672827129.jpg,2025-07-08T03:00:00Z,"Nakonec britské námonictvo muselo piznat, e stroj nebude moné v Indii opravit a bude muset být pevezen - snad velkým transportním letounem C-17 Globemaster - do Británie. Poniující obrázek - zejména,… [+2957 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Ricardo Pillai,Lockheed Martin Corporation (LMT): A Bull Case Theory,"We came across a bullish thesis on Lockheed Martin Corporation on Stock Region Research’s Substack by Stock Region. In this article, we will summarize the...",https://finance.yahoo.com/news/lockheed-martin-corporation-lmt-bull-201419444.html,https://media.zenfs.com/en/insidermonkey.com/a0761732ae788f1b2a81da6e0ed18999,2025-07-07T20:14:19Z,"We came across a bullish thesis on Lockheed Martin Corporation on Stock Region Researchs Substack by Stock Region. In this article, we will summarize the bulls thesis on LMT. Lockheed Martin Corporat… [+2620 chars]"
"{'id': None, 'name': 'Xataka.com'}",Javier Marquez,EEUU quiere renunciar a traer las muestras más valiosas recogidas en Marte. Lockheed promete hacerlo por menos de la mitad,"Desde febrero de 2021, el rover Perseverance recorre con paciencia el cráter Jezero, una antigua cuenca fluvial en la superficie de Marte. Allí, donde hace millones de años fluyó el agua, el robot de la NASA ha ido recolectando fragmentos de roca y polvo marc…",https://www.xataka.com/espacio/eeuu-quiere-renunciar-a-traer-muestras-valiosas-recogidas-marte-lockheed-promete-hacerlo-mitad,https://i.blogs.es/7adbe8/marte-muestras-portada/840_560.jpeg,2025-07-07T20:00:13Z,"Desde febrero de 2021, el rover Perseverance recorre con paciencia el cráter Jezero, una antigua cuenca fluvial en la superficie de Marte. Allí, donde hace millones de años fluyó el agua, el robot de… [+4652 chars]"
"{'id': None, 'name': 'Activistpost.com'}",Editor,Chris Hedges: Profiting From Genocide,"War is a business. So is genocide. The latest report submitted by Francesca Albanese, Special Rapporteur on the Occupied Palestinian Territories, lists 48 corporations and institutions, including Palantir Technologies Inc., Lockheed Martin, Alphabet Inc., Ama…",https://www.activistpost.com/chris-hedges-profiting-from-genocide/,https://www.activistpost.com/wp-content/uploads/2025/07/Activist-Website-Images-1.jpg,2025-07-07T20:00:00Z,"War is a business. So is genocide. The latest report submitted by Francesca Albanese, Special Rapporteur on the Occupied Palestinian Territories, lists 48 corporations and institutions, including Pal… [+17499 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jake Epstein,Patriot air defenses have become top weapons — and top targets,"Ukraine's inventory of Patriot surface-to-air missile systems have been very effective against Russia, two US Army officers told BI.",https://www.businessinsider.com/patriot-air-defenses-have-become-top-weapons-and-top-targets-2025-7,https://i.insider.com/686bfcae85e81483682d7a6f?width=1200&format=jpeg,2025-07-07T19:28:42Z,"The Patriot surface-to-air missile system has been a key element in Ukraine's defensive shield.US Army photo by Sgt. David Rincon
<ul><li>Before the Ukraine war, the US-made Patriot air defense syst… [+5230 chars]"
"{'id': None, 'name': 'Nintendo Life'}",Nintendo Life,Review: Arcade Archives 2 Air Combat 22 (Switch 2) - A Top Gun Origin Story,"You can be my wingman anytime.Namco's Ace Combat series is one of the company's most enduring hits, and has been a solid part of its lineup for decades, selling over 20 million units in the process – yet the origins of the franchise are somewhat murky and cer…",https://www.nintendolife.com/reviews/nintendo-switch-2/arcade-archives-2-air-combat-221,https://images.nintendolife.com/7b364b96591de/large.jpg,2025-07-07T18:00:00Z,"Captured on Nintendo Switch 2 (Handheld/Undocked)
Namco's Ace Combat series is one of the company's most enduring hits, and has been a solid part of its lineup for decades, selling over 20 million u… [+3329 chars]"
"{'id': None, 'name': 'GlobeNewswire'}",CMI MARKET RESEARCH PRIVATE LIMITED,"[Latest] Global 3D Printed Drones Market Size/Share Worth USD 3,855.5 Million by 2034 at a 20.7% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global 3D Printed Drones Market size & share revenue was valued at approximately USD 710.5 Million in 2024 and is expected to reach USD…",https://www.globenewswire.com/news-release/2025/07/07/3111245/0/en/Latest-Global-3D-Printed-Drones-Market-Size-Share-Worth-USD-3-855-5-Million-by-2034-at-a-20-7-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentati.html,https://ml.globenewswire.com/Resource/Download/74609d89-5437-4826-b7b8-31238ea2e65c,2025-07-07T17:30:00Z,"Austin, TX, USA, July 07, 2025 (GLOBE NEWSWIRE) -- Custom Market Insights has published a new research report titled 3D Printed Drones Market Size, Trends and Insights By Type (Fixed-wing, Multi-roto… [+30821 chars]"
"{'id': None, 'name': 'The National Interest '}",Peter Suciu,"The UK, France, and Italy Coordinate an International Indo-Pacific Aircraft Carrier Operation","Three European aircraft carriers, including the UK’s HMS Prince of Wales, are coordinating Indo-Pacific deployments to signal joint defense cooperation and reinforce security partnerships amid China’s expanding naval presence.  Following a week-long port visi…",https://nationalinterest.org/blog/buzz/the-uk-france-and-italy-coordinate-an-international-indo-pacific-aircraft-carrier-operation,https://nationalinterest.org/wp-content/uploads/2025/03/hmsprinceofwales_SS-1.jpg,2025-07-07T17:23:54Z,"Following a week-long port visit to Singapore, the Royal Navys flagship has begun preparations to carry out joint operations with the Japanese Maritime Self-Defense Force. The carrier airwing of HMS … [+4214 chars]"
"{'id': None, 'name': 'TheStreet'}","Jason Meshnick, CMT",Stock Market Today: Tesla Stuck on the Highway as Trade Deal Deadline Nears,"Yesterday, I witnessed a Model Y stopped in the middle lane of I70. The company has suffered while Musk plays with politics and is set to open lower today.",https://www.thestreet.com/investing/stock-market-today-tesla-stuck-on-the-highway-as-trade-deal-deadline-nears,https://media.zenfs.com/en/thestreet_881/0be5eae7333c935f42351b3cb6ed91ff,2025-07-07T16:18:44Z,"Stock Market Today: Tesla Stuck on the Highway as Trade Deal Deadline Nears originally appeared on TheStreet.
Updated at 11:40 a.m. EDT
Stocks are broadly lower following the holiday weekend. The S… [+3916 chars]"
"{'id': None, 'name': 'Freerepublic.com'}",Breitbart,‘President Trump Deserves All The Praise’ Says NATO Boss Rutte,"The Secretary General of NATO pushes through criticism for his compliments for U.S. President Donald Trump, pointing to higher spending by the alliance’s members and noting this “would not have happened” without Trump pushing the matter. America is “completel…",https://freerepublic.com/focus/f-news/4327296/posts,,2025-07-07T16:15:13Z,"Skip to comments.
President Trump Deserves All The Praise Says NATO Boss RutteBreitbart ^
 | 07-07-2025
 | Oliver JJ Lane
Posted on 07/07/2025 9:15:13 AM PDT by ChicagoConservative27
The Secreta… [+3201 chars]"
"{'id': None, 'name': 'Mail.ru'}",Светлана Левченко,У марсианской миссии появился шанс на спасение,"Миссия по возвращению образцов с Марса, которая находится в данный момент под угрозой из-за урезания бюджета и геополитических изменений, похоже, все-таки состоится — благодаря частной инициативе.
Lockheed Martin представила альтернативный проект миссии, кото…",https://hi-tech.mail.ru/news/129906-u-marsianskoj-missii-poyavilsya-shans-na-spasenie/,https://resizer.mail.ru/p/239febd1-6faf-59b9-b2e2-973b25a07ebb/AQAKWzq7QvDEnWqdiAiCit1DwTyvxE-Ka2L9LJmd1xD9eFFgiFN1-VvXsJmv4seP6IddktzO-F3MoQ6RSfgDgOSPGQo.jpg,2025-07-07T15:03:51Z,"Lockheed Martin , ,   ,   3  —      7 .
Mars Sample Return (MSR) — ,          .   : Perseverance   ,    , . ,    , , ,      .     .
  Lockheed Martin ,   ,     . ,   InSight —  . 250−300 , 5   .   … [+117 chars]"
