source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Biztoc.com'}",reuters.com,Sweden signs $526 million ammunition deals with Rheinmetall and Nammo,,https://biztoc.com/x/2829856ef068d753,https://biztoc.com/cdn/2829856ef068d753_s.webp,2025-07-08T07:09:33Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump impose 25% tariffs on Japan and Korea? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trump's tar… [+806 chars]"
"{'id': None, 'name': 'Telepolis.de'}",Lars Lange,Deutschland: Panzer für 100 Milliarden – und keiner rechnet nach,Deutschlands Rüstungsausgaben steigen rasant. Bloomberg nennt 25 Milliarden für neue Panzer. Doch das ist nur der Anfang. Eine Einschätzung.,https://www.telepolis.de/features/Deutschland-Panzer-fuer-100-Milliarden-und-keiner-rechnet-nach-10477966.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/9/2/6/1/5/master_schiessender_Panzer-39c8b681acfba6d8.jpeg,2025-07-08T07:00:00Z,"Ein Leopard 2A6 beim Schuss. 7th Army Training Command from Grafenwoehr, Germany - Strong Europe Tank Challenge 2018. Bild: U.S. Army Photo by Kevin S. Abel
Deutschlands Rüstungsausgaben steigen ras… [+10157 chars]"
"{'id': None, 'name': 'Feber.se'}",Frode Wikesjö,Trump inför nya tullar,"Och förlänger deadline för förhandlingar






USA:s president Donald Trump skickade under gårdagen ut tullbrev till över tio länder, däribland Japan, Sydkorea, Malaysia, Kazakstan, Laos, Myanmar och Sydafrika. Motivationen för dessa nya brev var det vanliga,…",https://feber.se/samhalle/trump-infor-nya-tullar/481388/,https://static.feber.se/article_images/62/28/86/622886.jpg,2025-07-08T07:00:00Z,"Teknik
Motor
Samhälle
Spel
Popkultur
Tjock
4 idag
27 igår
Tipsa!
Skaffa Feber+
Trump inför nya tullar
Och förlänger deadline för förhandlingar
33.3°
0
Annons från 
Annons
Kristerssons… [+24511 chars]"
"{'id': 'nrk', 'name': 'NRK'}",NRK,Nammo har inngått milliardkontrakt med Sverige,"Den norske forsvarsprodusenten Nammo har signert ein avtale verdt 1 milliard svenske kroner med den svenske staten, det opplyser det svenske forsvarsdepartementet, ifølgje nyheitsbyrået Reuters.
– Med denne bestillinga styrkjer vi Sveriges forsvarsevne. Det e…",https://www.nrk.no/nyheter/nammo-har-inngatt-milliardkontrakt-med-sverige-1.17484452,https://static.nrk.no/nrkno/serum/2.0.519/common/img/default.jpg,2025-07-08T06:55:11Z,"Den norske forsvarsprodusenten Nammo har signert ein avtale verdt 1 milliard svenske kroner med den svenske staten, det opplyser det svenske forsvarsdepartementet, ifølgje nyheitsbyrået Reuters.
 Me… [+282 chars]"
"{'id': None, 'name': 'Feber.se'}",Roger Åberg,Försvaret köper granater för 5 miljarder,"Till Archersystemet






Om det blir krig så behöver man pang pang och nu har försvaret beställt en hel del sånt. Närmare bestämt har man beställt granater och drivladdningar till Archersystemet för fem miljarder kronor. 

– Det är den största upphandlingen …",https://feber.se/samhalle/forsvaret-koper-granater-for-5-miljarder-/481395/,https://static.feber.se/article_images/62/29/10/622910.jpeg,2025-07-08T06:30:00Z,"Teknik
Motor
Samhälle
Spel
Popkultur
Tjock
4 idag
27 igår
Tipsa!
Skaffa Feber+
Trump inför nya tullar
Och förlänger deadline för förhandlingar
33.3°
0
Annons från 
Annons
Kristerssons… [+24194 chars]"
"{'id': None, 'name': 'Sputnikportal.rs'}",Sputnik Србија,Европа у трци наоружања: Портфељ нереализованих војних наруџбина достигао 311 милијарди евра,"Портфељ нереализованих наруџбина европских војних фабрика достигао је у 2024. години рекордну вредност од 311 милијарди евра, наводи се у извештају „Росконгреса“ под насловом „Милитаризација Европе: буџети и географија нових производних капацитета“, у који је…",https://sputnikportal.rs/20250708/evropa-u-trci-naoruzanja-portfelj-nerealizovanih-vojnih-narudzbina-dostigao-311-milijardi-evra-1187642411.html,https://cdn1.img.sputnikportal.rs/images/sharing/article/srb/1187642411.jpg?11858860651751954402,2025-07-08T06:00:00Z,"99,1 MHz, 100,8 MHz 105,4 MHz
https://sputnikportal.rs/20250708/evropa-u-trci-naoruzanja-portfelj-nerealizovanih-vojnih-narudzbina-dostigao-311-milijardi-evra-1187642411.html
 2024. 311 , ... 08.07… [+923 chars]"
"{'id': None, 'name': 'Feber.se'}",Roger Åberg,Kristerssons livvakter använder Strava,"Inte så säkert






Att vår statsminister Ulf Kristersson ska ha livvakter är en självklarhet. De finns där för honom, men det räcker inte för att hålla en hög säkerhet. Nu avslöjar DN att flera av Ulf Kristerssons och kungafamiljens livvakter använder Strav…",https://feber.se/samhalle/kristerssons-livvakter-anvander-strava/481391/,https://static.feber.se/article_images/62/29/08/622908.jpeg,2025-07-08T06:00:00Z,"Teknik
Motor
Samhälle
Spel
Popkultur
Tjock
4 idag
27 igår
Tipsa!
Skaffa Feber+
Trump inför nya tullar
Och förlänger deadline för förhandlingar
33.3°
0
Annons från 
Annons
Kristerssons… [+24555 chars]"
"{'id': None, 'name': 'Www.vg.no'}",Jørgen Eriksen,Sverige bestiller granater for fem milliarder til forsvaret,Leveransene av artilleriammunisjon til Archer-systemet starter allerede i år.,https://www.vg.no/nyheter/i/4Bpqjo/sverige-bestiller-granater-for-fem-milliarder-til-forsvaret,https://akamai.vgc.no/v2/images/d1833356-5bb9-4d99-a94d-85c76a8e1720?format=auto&w=1080&s=0e0505d5f78dd8a80beaabc336c374135b424cc6,2025-07-08T05:52:44Z,<ul><li>Sverige har gjort sin største bestilling av artilleriammunisjon siden 1980-tallet.</li><li>Ordren er verdt over fem milliarder svenske kroner og leveransene starter i år.</li><li>Forsvarsmini… [+1499 chars]
"{'id': None, 'name': 'Gazeta.pl'}",Katarzyna Domagała-Pereira/Deutsche Welle,Niemcy zbroją się po zęby. Ogromna ilość czołgów dla Bundeswehry,"Berlin planuje zakup 3,5 tys. czołgów i transporterów opancerzonych dla Bundeswehry - donosi serwis Bloomberg. Czołgi mają być produkowane przez Rheinmetall i firmę KNDS, a pojazdy opancerzone przez ARTEC.","https://next.gazeta.pl/next/7,168930,32086983,niemcy-zbroja-sie-po-zeby-ogromna-ilosc-czolgow-dla-bundeswehry.html","https://bi.im-g.pl/im/ef/99/1e/z32087023IER,Czolg-Leopard-2---zdjecie-ilustracyjne.jpg",2025-07-08T04:14:00Z,Minister obrony Niemiec Boris Pistorius planuje zamówić ogromne ilości czołgów i innych pojazdów bojowych. Za kwotę do 25 mld euro Berlin chce zakupić m.in. 1 tys. czołgów Leopard 2 – donosi serwis B… [+1715 chars]
"{'id': None, 'name': 'EURACTIV'}",Inés Fernández-Pontes,Spain’s arms embargo on Israel hits enemy lines at home,"Despite public vows, Spain’s pledge to enforce a full arms embargo on Israel remains a half-loaded promise.",https://www.euractiv.com/section/defence/news/spains-arms-embargo-on-israel-hits-enemy-lines-at-home/,https://www.euractiv.com/wp-content/uploads/sites/2/2025/07/GettyImages-2167766100.jpg,2025-07-08T04:00:26Z,"MADRID Spains vow to cut arms ties with Israel faces major hurdles, as deep military dependencies and political realities complicate last year's announced embargo.
""Spain does not buy arms from Isra… [+4664 chars]"
"{'id': None, 'name': 'Digital Journal'}",Paul Wallis,Op-Ed: Europe rearms with a twist as Rheinmetall CEO makes a few good points,"The Ukrainian war has rewritten the fundamentals of military economics. There’s no going back.
The post Op-Ed: Europe rearms with a twist as Rheinmetall CEO makes a few good points appeared first on Digital Journal.",https://www.digitaljournal.com/world/op-ed-europe-rearms-with-a-twist-as-rheinmetall-ceo-makes-a-few-good-points/article,https://www.digitaljournal.com/wp-content/uploads/2025/06/0083f2ca2f60adae1c85f8110d788db3052cea27.jpg,2025-07-08T01:52:12Z,"US President Donald Trump arrives for a press conference during a North Atlantic Treaty Organization (NATO) Heads of State and Government summit in The Hague on June 25, 2025 - Copyright AFP kena bet… [+3490 chars]"
