source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Diepresse.com'}",Die Presse,Ukraine: Mindestens zwei Tote bei stundenlangen russischen Luftangriffen,Hauptziele der russischen Armee waren die Hauptstadt Kiew und Umgebung. Der ukrainische Präsident spricht von einer „Eskalation des Terrors durch Russland“.,https://www.diepresse.com/19886018/ukraine-mindestens-zwei-tote-bei-stundenlangen-russischen-luftangriffen,https://img.diepresse.com/public/incoming/uhrwv9-UKRAINE-CRISISATTACK-KYIV/alternates/DPR_SOCIAL_NACHRICHTEN/UKRAINE-CRISISATTACK-KYIV,2025-07-10T09:42:48Z,"Hauptziele der russischen Armee waren die Hauptstadt Kiew und Umgebung. Der ukrainische Präsident spricht von einer Eskalation des Terrors durch Russland.
Die russische Armee hat die Ukraine in der … [+2957 chars]"
"{'id': None, 'name': 'Orf.at'}",ORF.at,Tote bei neuen russischen Luftangriffen,Bei einem neuen russischen Großangriff aus der Luft sind in der Ukraine in der Nacht auf Donnerstag mindestens zwei Menschen getötet worden. Nach Angaben von Präsident Wolodymyr Selenskyj setzte die russische Armee über 400 Drohnen ein. Moskau hat die Produkt…,https://orf.at/stories/3399257/,https://ibs.orf.at/news?image=https%3A%2F%2Fassets.orf.at%2Fmims%2F2025%2F28%2F13%2Fcrops%2Fw%3D1200%2Ch%3D630%2Cq%3D75%2F2692959_master_1036413_ukraine_russland_luftangriffe_domi_im.jpg%3Fs%3D529e86b4bf95b56e0931949a01b929bbe9aebc82,2025-07-10T09:40:15Z,"Das ist eindeutig eine Eskalation des Terrors seitens Russlands, sagte Selenskyj am Donnerstag. Sanktionen müssen schneller verhängt werden, und der Druck auf Russland muss so stark sein, dass es die… [+6062 chars]"
"{'id': None, 'name': 'Origo.hu'}",,"Kényszersorozás: erőszakkal, a családjuk mellől rabolják el a férfiakat az ukránok","Friss hírek Magyarországról és a nagyvilágból, sport, technika, szórakozás, tudomány, kultúra. Az ORIGO a legfrissebb hazai és nemzetközi hírekkel szolgál olvasói számára.",https://www.origo.hu/nagyvilag/2025/07/kenyszersorozas-eroszak-csalad-ukranok,https://cdn.origo.hu/2025/07/iNut5S9BDzo-msvCttfffaMutRHabeFoh5gI8k_fIU0/fill/1200/675/no/1/aHR0cHM6Ly9jbXNjZG4uYXBwLmNvbnRlbnQucHJpdmF0ZS9jb250ZW50LzBhZDQ0NTQyMWI1MzRhZjJiZjI4N2IyYTA5OWFhZTE5.webp,2025-07-10T09:39:55Z,"A közterületi elfogások vagyis utcai emberrablások mindennapossá váltak, gyakran erszakkal, akár családtagjaik melll hurcolják el az embereket. 
A Harkivi Regionális Toborzó Iroda (TCC) tagjai a vár… [+1801 chars]"
"{'id': 'financial-post', 'name': 'Financial Post'}",The Associated Press,Rubio to meet Russia’s Lavrov with Ukraine tensions high,"KUALA LUMPUR, Malaysia (AP) — U.S. Secretary of State Marco Rubio and his Russian counterpart will meet Thursday in Malaysia for what could be a testy conversation as tensions between the countries rise over Moscow’s increasing attacks on Ukraine and question…",https://financialpost.com/pmn/rubio-to-meet-russias-lavrov-with-ukraine-tensions-high,,2025-07-10T09:37:40Z,"But Rubio may be hard-pressed to avoid the tariff issue that has vexed some of Washingtons closest allies and partners in Asia, including Japan and South Korea and most members of ASEAN, which Trump … [+3047 chars]"
"{'id': None, 'name': 'Biztoc.com'}",businessinsider.com,"After watching Ukraine, Russia's NATO neighbors are betting big on US-made HIMARS rocket artillery","M142 HIMARS launches a rocket at a Russian position in Ukraine.
Serhii Mykhalchuk/Global Images Ukraine via Getty Images
Russia's neighbors in NATO are strengthening their defenses, bracing for aggression from Moscow.
They've picked the US-made High Mobility …",https://biztoc.com/x/1b22db342c0ddd33,https://biztoc.com/cdn/1b22db342c0ddd33_s.webp,2025-07-10T09:36:04Z,"M142 HIMARS launches a rocket at a Russian position in Ukraine.Serhii Mykhalchuk/Global Images Ukraine via Getty ImagesRussia's neighbors in NATO are strengthening their defenses, bracing for aggress… [+151 chars]"
"{'id': 'le-monde', 'name': 'Le Monde'}",Faustine Vincent,"En Ukraine, « les militaires reprochent aux civils leur indifférence, mais, en réalité, la société reste mobilisée »",La sociologue Ioulia Shukan a enquêté pendant neuf ans à Kharkiv sur les ressorts du soutien de millions de bénévoles ukrainiens à l’effort de guerre.,https://www.lemonde.fr/international/article/2025/07/10/en-ukraine-les-militaires-reprochent-aux-civils-leur-indifference-mais-en-realite-la-societe-reste-mobilisee_6620449_3210.html,https://img.lemde.fr/2025/07/09/0/0/8640/5760/1440/960/60/0/8240250_upload-1-fupwxlaoeikb-ap24355579994698.jpg,2025-07-10T09:35:42Z,"Un bénévole transporte des sacs lors de lévacuation de civils de Pokrovsk (Ukraine), vendredi 20 décembre 2024. EVGENIY MALOLETKA / AP
Ioulia Shukan, sociologue et maîtresse de conférences en études… [+1320 chars]"
"{'id': None, 'name': 'Forbes'}","Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/",Buy JBHT Stock Ahead of Its Upcoming Earnings?,"Historically, JBHT has experienced a favorable one-day stock return after earnings announcements in 55% of cases over the last five years.",https://www.forbes.com/sites/greatspeculations/2025/07/10/buy-jbht-stock-ahead-of-its-upcoming-earnings/,https://imageio.forbes.com/specials-images/imageserve/63314f484302a085077d2c29/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-07-10T09:30:53Z,"UKRAINE - 2021/05/08: In this photo illustration, the J.B. Hunt logo of the American transportation ... More and logistics company seen on a smartphone and on a pc screen. (Photo Illustration by Pavl… [+3588 chars]"
"{'id': None, 'name': 'Xataka.com'}",Miguel Jorge,La guerra entra en el terreno de la ciencia ficción. Ucrania ha capturado soldados rusos sin humanos: lo hicieron los robots,En las últimas horas se han conocido dos hechos inéditos en la guerra de Ucrania. El primero de todos ocurrió pocas horas después de que Trump anunciara la reanudación parcial del envío de armas a Kiev y criticara duramente a Putin. Entonces Rusia lanzó el ma…,https://www.xataka.com/magnet/hecho-precedentes-guerras-ucrania-acaba-capturar-soldados-rusos-humanos-hicieron-robots,https://i.blogs.es/8b26ac/ps---plantilla-portadas-xtk-445/840_560.jpeg,2025-07-10T09:30:52Z,En las últimas horas se han conocido dos hechos inéditos en la guerra de Ucrania. El primero de todos ocurrió pocas horas después de que Trump anunciara la reanudación parcial del envío de armas a Ki… [+6620 chars]
"{'id': None, 'name': 'Protothema.gr'}",Newsroom,"Migrants in former military camps and only in the mainland, Kimberly spoke well and is on her way, the 91 patriots, the suitors for the contributions","Attica Bank’s records while KARELIA is waiting…
The post Migrants in former military camps and only in the mainland, Kimberly spoke well and is on her way, the 91 patriots, the suitors for the contributions appeared first on ProtoThema English.",https://en.protothema.gr/2025/07/10/migrants-in-former-military-camps-and-only-in-the-mainland-kimberly-spoke-well-and-is-on-her-way-the-91-patriots-the-suitors-for-the-contributions/,https://en.protothema.gr/wp-content/uploads/2024/06/ProtothemaEn.png,2025-07-10T09:30:30Z,"Hello, after what happened the day before yesterday in Libya, I think it was expected that Mitsotakis would announce closed structuresmeaning whoever arrives is simply imprisoned, but at least in a G… [+15865 chars]"
"{'id': None, 'name': 'Raw Story'}",Thom Hartmann,Trump led a distracted America to its hour of crisis,"Donald Trump didn’t just try to overturn an election. He’s trying to overturn the very ideal — and reality— of what has historically made America great.While the media fixates on trade, Epstein, and floods, we’re all missing the real story: Trump’s “waste, fr…",https://www.rawstory.com/raw-investigates/trump-led-a-distracted-america-to-its-hour-of-crisis/,https://www.rawstory.com/media-library/u-s-president-donald-trump-boards-air-force-one-to-depart-for-florida-at-joint-base-andrews-maryland-u-s-july-1-2025-reu.jpg?id=61187282&width=1200&height=600&coordinates=0%2C365%2C0%2C366,2025-07-10T09:30:02Z,"Donald Trump didnt just try to overturn an election. Hes trying to overturn the very ideal and reality of what has historically made America great.
While the media fixates on trade, Epstein, and flo… [+11575 chars]"
